timestamp (ns), T_wf(00), T_wf(01), T_wf(02), T_wf(03), T_wf(10), T_wf(11), T_wf(12), T_wf(13), T_wf(20), T_wf(21), T_wf(22), T_wf(23)
1677765563926000128,0.99794,-0.06121,0.01904,2.29867,-0.05151,-0.94250,-0.33022,-16.33113,0.03815,0.32856,-0.94371,-1.06000
1677765563936000000,0.99795,-0.06112,0.01890,2.29871,-0.05147,-0.94249,-0.33026,-16.33122,0.03800,0.32861,-0.94370,-1.05990
1677765563946000128,0.99796,-0.06105,0.01879,2.29879,-0.05144,-0.94247,-0.33031,-16.33138,0.03787,0.32867,-0.94369,-1.05990
1677765563956000000,0.99796,-0.06097,0.01869,2.29887,-0.05139,-0.94245,-0.33037,-16.33158,0.03776,0.32874,-0.94367,-1.05980
1677765563966000128,0.99797,-0.06085,0.01855,2.29897,-0.05132,-0.94242,-0.33046,-16.33182,0.03759,0.32884,-0.94364,-1.05980
1677765563976000000,0.99799,-0.06071,0.01835,2.29911,-0.05124,-0.94237,-0.33062,-16.33212,0.03737,0.32901,-0.94359,-1.05970
1677765563986000128,0.99801,-0.06047,0.01809,2.29929,-0.05110,-0.94229,-0.33087,-16.33247,0.03706,0.32928,-0.94350,-1.05960
1677765563996000000,0.99803,-0.06016,0.01769,2.29949,-0.05092,-0.94219,-0.33119,-16.33283,0.03659,0.32964,-0.94340,-1.05940
1677765564006000128,0.99807,-0.05973,0.01710,2.29972,-0.05070,-0.94207,-0.33156,-16.33329,0.03592,0.33005,-0.94328,-1.05910
1677765564016000000,0.99811,-0.05918,0.01632,2.30001,-0.05042,-0.94196,-0.33191,-16.33386,0.03501,0.33047,-0.94317,-1.05880
1677765564026000128,0.99816,-0.05858,0.01538,2.30034,-0.05016,-0.94187,-0.33221,-16.33458,0.03395,0.33083,-0.94308,-1.05840
1677765564036000000,0.99822,-0.05796,0.01439,2.30072,-0.04990,-0.94181,-0.33242,-16.33550,0.03282,0.33111,-0.94302,-1.05800
1677765564046000128,0.99827,-0.05731,0.01347,2.30116,-0.04958,-0.94179,-0.33253,-16.33667,0.03174,0.33129,-0.94300,-1.05750
1677765564056000256,0.99831,-0.05676,0.01274,2.30169,-0.04930,-0.94180,-0.33253,-16.33814,0.03087,0.33134,-0.94301,-1.05710
1677765564066000128,0.99834,-0.05630,0.01230,2.30230,-0.04902,-0.94184,-0.33246,-16.33992,0.03030,0.33130,-0.94304,-1.05670
1677765564076000256,0.99836,-0.05600,0.01218,2.30302,-0.04878,-0.94189,-0.33236,-16.34197,0.03008,0.33122,-0.94307,-1.05640
1677765564086000128,0.99836,-0.05585,0.01230,2.30383,-0.04860,-0.94194,-0.33223,-16.34428,0.03014,0.33109,-0.94312,-1.05630
1677765564096000256,0.99836,-0.05583,0.01263,2.30474,-0.04848,-0.94199,-0.33211,-16.34687,0.03044,0.33096,-0.94316,-1.05620
1677765564106000128,0.99835,-0.05586,0.01301,2.30573,-0.04839,-0.94204,-0.33200,-16.34963,0.03081,0.33082,-0.94319,-1.05620
1677765564116000256,0.99835,-0.05591,0.01340,2.30676,-0.04831,-0.94208,-0.33188,-16.35254,0.03118,0.33069,-0.94323,-1.05620
1677765564126000128,0.99834,-0.05596,0.01378,2.30784,-0.04823,-0.94212,-0.33179,-16.35556,0.03155,0.33058,-0.94325,-1.05620
1677765564136000256,0.99833,-0.05603,0.01411,2.30898,-0.04818,-0.94213,-0.33176,-16.35866,0.03188,0.33053,-0.94326,-1.05610
1677765564146000128,0.99832,-0.05615,0.01434,2.31017,-0.04822,-0.94213,-0.33177,-16.36181,0.03214,0.33052,-0.94325,-1.05610
1677765564156000256,0.99831,-0.05633,0.01451,2.31142,-0.04833,-0.94210,-0.33182,-16.36498,0.03236,0.33056,-0.94323,-1.05610
1677765564166000128,0.99830,-0.05649,0.01464,2.31268,-0.04844,-0.94207,-0.33190,-16.36818,0.03254,0.33063,-0.94320,-1.05600
1677765564176000000,0.99829,-0.05654,0.01475,2.31394,-0.04845,-0.94204,-0.33198,-16.37140,0.03267,0.33070,-0.94317,-1.05600
1677765564186000128,0.99830,-0.05646,0.01479,2.31517,-0.04836,-0.94201,-0.33207,-16.37460,0.03268,0.33079,-0.94314,-1.05590
1677765564196000000,0.99831,-0.05628,0.01471,2.31637,-0.04821,-0.94199,-0.33215,-16.37779,0.03255,0.33088,-0.94311,-1.05570
1677765564206000128,0.99832,-0.05607,0.01452,2.31755,-0.04807,-0.94198,-0.33222,-16.38093,0.03231,0.33096,-0.94309,-1.05560
1677765564216000000,0.99834,-0.05584,0.01417,2.31870,-0.04797,-0.94196,-0.33227,-16.38400,0.03191,0.33104,-0.94308,-1.05550
1677765564226000128,0.99836,-0.05560,0.01366,2.31984,-0.04791,-0.94194,-0.33235,-16.38699,0.03135,0.33115,-0.94306,-1.05540
1677765564236000000,0.99838,-0.05533,0.01304,2.32093,-0.04786,-0.94191,-0.33245,-16.38991,0.03067,0.33129,-0.94303,-1.05540
1677765564246000128,0.99841,-0.05502,0.01235,2.32200,-0.04779,-0.94187,-0.33257,-16.39276,0.02993,0.33145,-0.94300,-1.05530
1677765564256000000,0.99843,-0.05475,0.01164,2.32307,-0.04776,-0.94182,-0.33272,-16.39556,0.02918,0.33164,-0.94295,-1.05520
1677765564266000128,0.99845,-0.05457,0.01102,2.32414,-0.04780,-0.94176,-0.33286,-16.39835,0.02854,0.33182,-0.94291,-1.05520
1677765564276000000,0.99846,-0.05453,0.01058,2.32526,-0.04791,-0.94172,-0.33296,-16.40115,0.02812,0.33194,-0.94288,-1.05520
1677765564286000128,0.99845,-0.05460,0.01037,2.32640,-0.04803,-0.94171,-0.33297,-16.40401,0.02795,0.33196,-0.94288,-1.05520
