timestamp (ns), T_wf(00), T_wf(01), T_wf(02), T_wf(03), T_wf(10), T_wf(11), T_wf(12), T_wf(13), T_wf(20), T_wf(21), T_wf(22), T_wf(23)
1677764337454000128,1.00000,0.00000,0.00000,0.00000,-0.00000,1.00000,0.00000,-0.00000,0.00000,-0.00000,1.00000,0.00000
1677764337464000256,1.00000,-0.00055,-0.00015,0.00018,0.00055,1.00000,-0.00000,0.00018,0.00015,0.00000,1.00000,0.00010
1677764337474000128,1.00000,-0.00116,-0.00033,0.00036,0.00116,1.00000,-0.00001,0.00039,0.00033,0.00001,1.00000,0.00010
1677764337484000256,1.00000,-0.00181,-0.00052,0.00057,0.00181,1.00000,-0.00001,0.00063,0.00052,0.00001,1.00000,0.00020
1677764337494000128,1.00000,-0.00251,-0.00075,0.00079,0.00251,1.00000,-0.00002,0.00088,0.00075,0.00002,1.00000,0.00029
1677764337504000256,0.99999,-0.00323,-0.00100,0.00103,0.00323,0.99999,-0.00003,0.00116,0.00100,0.00002,1.00000,0.00039
1677764337514000128,0.99999,-0.00396,-0.00131,0.00128,0.00396,0.99999,-0.00003,0.00145,0.00131,0.00003,1.00000,0.00049
1677764337524000256,0.99999,-0.00470,-0.00166,0.00155,0.00470,0.99999,-0.00004,0.00176,0.00166,0.00003,1.00000,0.00069
1677764337534000128,0.99998,-0.00543,-0.00201,0.00185,0.00543,0.99999,-0.00005,0.00208,0.00201,0.00004,1.00000,0.00079
1677764337544000256,0.99998,-0.00615,-0.00232,0.00220,0.00615,0.99998,-0.00006,0.00239,0.00232,0.00004,1.00000,0.00098
1677764337554000128,0.99997,-0.00686,-0.00254,0.00259,0.00686,0.99998,-0.00006,0.00270,0.00254,0.00005,1.00000,0.00108
1677764337564000256,0.99997,-0.00757,-0.00267,0.00302,0.00757,0.99997,-0.00007,0.00301,0.00268,0.00005,1.00000,0.00118
1677764337574000128,0.99996,-0.00831,-0.00275,0.00349,0.00831,0.99997,-0.00008,0.00331,0.00275,0.00006,1.00000,0.00118
1677764337584000256,0.99995,-0.00908,-0.00279,0.00399,0.00908,0.99996,-0.00009,0.00360,0.00279,0.00006,1.00000,0.00127
1677764337594000384,0.99995,-0.00993,-0.00283,0.00452,0.00993,0.99995,-0.00010,0.00387,0.00283,0.00007,1.00000,0.00137
1677764337604000256,0.99994,-0.01085,-0.00289,0.00508,0.01085,0.99994,-0.00011,0.00414,0.00289,0.00008,1.00000,0.00146
1677764337614000384,0.99993,-0.01184,-0.00303,0.00566,0.01184,0.99993,-0.00012,0.00441,0.00303,0.00008,1.00000,0.00156
1677764337624000256,0.99991,-0.01286,-0.00317,0.00627,0.01286,0.99992,-0.00013,0.00468,0.00317,0.00009,0.99999,0.00166
1677764337634000384,0.99990,-0.01383,-0.00326,0.00692,0.01383,0.99990,-0.00014,0.00489,0.00326,0.00010,0.99999,0.00175
1677764337644000256,0.99989,-0.01468,-0.00337,0.00762,0.01468,0.99989,-0.00015,0.00506,0.00337,0.00010,0.99999,0.00195
1677764337654000384,0.99988,-0.01540,-0.00347,0.00836,0.01540,0.99988,-0.00016,0.00516,0.00348,0.00011,0.99999,0.00204
1677764337664000256,0.99987,-0.01599,-0.00350,0.00916,0.01599,0.99987,-0.00017,0.00521,0.00350,0.00011,0.99999,0.00224
1677764337674000384,0.99986,-0.01643,-0.00347,0.01004,0.01643,0.99987,-0.00017,0.00521,0.00347,0.00011,0.99999,0.00233
1677764337684000256,0.99985,-0.01673,-0.00340,0.01098,0.01673,0.99986,-0.00017,0.00516,0.00341,0.00012,0.99999,0.00242
1677764337694000128,0.99985,-0.01694,-0.00326,0.01199,0.01694,0.99986,-0.00017,0.00505,0.00327,0.00012,0.99999,0.00262
1677764337704000256,0.99985,-0.01709,-0.00305,0.01306,0.01709,0.99985,-0.00017,0.00492,0.00305,0.00012,1.00000,0.00271
1677764337714000128,0.99985,-0.01719,-0.00271,0.01420,0.01718,0.99985,-0.00017,0.00477,0.00271,0.00012,1.00000,0.00280
1677764337724000256,0.99985,-0.01725,-0.00216,0.01542,0.01725,0.99985,-0.00016,0.00460,0.00216,0.00012,1.00000,0.00279
1677764337734000128,0.99985,-0.01730,-0.00146,0.01670,0.01730,0.99985,-0.00015,0.00442,0.00147,0.00012,1.00000,0.00288
1677764337744000256,0.99985,-0.01738,-0.00067,0.01801,0.01738,0.99985,-0.00013,0.00424,0.00067,0.00012,1.00000,0.00287
1677764337754000128,0.99985,-0.01751,0.00021,0.01932,0.01751,0.99985,-0.00012,0.00404,-0.00021,0.00012,1.00000,0.00287
1677764337764000256,0.99984,-0.01771,0.00107,0.02065,0.01771,0.99984,-0.00010,0.00387,-0.00107,0.00012,1.00000,0.00286
1677764337774000128,0.99984,-0.01795,0.00180,0.02194,0.01795,0.99984,-0.00009,0.00371,-0.00180,0.00012,1.00000,0.00285
1677764337784000256,0.99983,-0.01817,0.00242,0.02319,0.01817,0.99983,-0.00008,0.00359,-0.00241,0.00013,1.00000,0.00294
1677764337794000128,0.99983,-0.01834,0.00290,0.02441,0.01834,0.99983,-0.00007,0.00349,-0.00289,0.00013,1.00000,0.00303
1677764337804000256,0.99982,-0.01847,0.00321,0.02558,0.01847,0.99983,-0.00007,0.00339,-0.00320,0.00013,0.99999,0.00312
1677764337814000128,0.99982,-0.01854,0.00338,0.02670,0.01854,0.99983,-0.00007,0.00327,-0.00338,0.00013,0.99999,0.00321
1677764337824000000,0.99982,-0.01858,0.00344,0.02883,0.01858,0.99983,-0.00006,0.00309,-0.00344,0.00013,0.99999,0.00350
1677764337834000384,0.99982,-0.01859,0.00343,0.03091,0.01859,0.99983,-0.00006,0.00292,-0.00343,0.00013,0.99999,0.00379
1677764337844000256,0.99982,-0.01858,0.00338,0.03293,0.01858,0.99983,-0.00007,0.00282,-0.00338,0.00013,0.99999,0.00417
1677764337854000384,0.99982,-0.01856,0.00328,0.03489,0.01856,0.99983,-0.00007,0.00275,-0.00328,0.00013,0.99999,0.00446
1677764337864000256,0.99982,-0.01855,0.00314,0.03683,0.01855,0.99983,-0.00007,0.00272,-0.00314,0.00013,1.00000,0.00484
1677764337874000384,0.99982,-0.01858,0.00289,0.03873,0.01858,0.99983,-0.00007,0.00271,-0.00289,0.00013,1.00000,0.00523
1677764337884000256,0.99982,-0.01866,0.00248,0.04060,0.01866,0.99983,-0.00008,0.00273,-0.00248,0.00013,1.00000,0.00562
1677764337894000384,0.99982,-0.01880,0.00201,0.04248,0.01880,0.99982,-0.00009,0.00279,-0.00200,0.00013,1.00000,0.00601
1677764337904000256,0.99982,-0.01900,0.00147,0.04438,0.01900,0.99982,-0.00010,0.00291,-0.00146,0.00013,1.00000,0.00639
1677764337914000384,0.99981,-0.01924,0.00085,0.04632,0.01924,0.99981,-0.00012,0.00307,-0.00085,0.00013,1.00000,0.00678
1677764337924000256,0.99981,-0.01953,0.00020,0.04834,0.01953,0.99981,-0.00013,0.00327,-0.00020,0.00014,1.00000,0.00727
