timestamp (ns), T_wf(00), T_wf(01), T_wf(02), T_wf(03), T_wf(10), T_wf(11), T_wf(12), T_wf(13), T_wf(20), T_wf(21), T_wf(22), T_wf(23)
1677765046264000256,0.99918,-0.01454,-0.03787,9.00234,-0.02302,-0.97189,-0.23431,-37.53045,-0.03340,0.23499,-0.97142,-1.69670
1677765046274000128,0.99917,-0.01439,-0.03810,9.00234,-0.02293,-0.97189,-0.23431,-37.53064,-0.03365,0.23499,-0.97141,-1.69670
1677765046284000256,0.99916,-0.01422,-0.03832,9.00236,-0.02282,-0.97189,-0.23433,-37.53086,-0.03391,0.23501,-0.97140,-1.69660
1677765046294000128,0.99916,-0.01405,-0.03853,9.00237,-0.02271,-0.97189,-0.23435,-37.53115,-0.03416,0.23503,-0.97139,-1.69650
1677765046304000256,0.99915,-0.01391,-0.03870,9.00240,-0.02260,-0.97189,-0.23436,-37.53149,-0.03436,0.23504,-0.97138,-1.69640
1677765046314000128,0.99915,-0.01377,-0.03883,9.00245,-0.02250,-0.97189,-0.23437,-37.53191,-0.03451,0.23505,-0.97137,-1.69630
1677765046324000000,0.99915,-0.01366,-0.03891,9.00252,-0.02241,-0.97189,-0.23438,-37.53238,-0.03462,0.23505,-0.97137,-1.69620
1677765046334000128,0.99915,-0.01355,-0.03896,9.00260,-0.02232,-0.97189,-0.23438,-37.53292,-0.03469,0.23505,-0.97136,-1.69620
1677765046344000000,0.99915,-0.01342,-0.03900,9.00269,-0.02220,-0.97189,-0.23437,-37.53352,-0.03476,0.23504,-0.97136,-1.69610
1677765046354000128,0.99915,-0.01329,-0.03902,9.00281,-0.02208,-0.97189,-0.23438,-37.53418,-0.03481,0.23505,-0.97136,-1.69600
1677765046364000000,0.99915,-0.01319,-0.03901,9.00295,-0.02198,-0.97189,-0.23440,-37.53492,-0.03482,0.23506,-0.97136,-1.69600
1677765046374000128,0.99915,-0.01314,-0.03899,9.00311,-0.02193,-0.97189,-0.23441,-37.53572,-0.03481,0.23507,-0.97135,-1.69590
